"PA" "lAltitude" "lMeanDepth" "lalkalinity" "lcolour" "logtp" "meantemp"
"65" 0 4.72738781871234 2.87919845729804 -0.594207232705042 0.22314355131421 3.21888 17.4
"67" 0 4.15888308335967 3.68135118769314 -3.68887945411394 4.5798523780038 3.68888 16.5
"68" 1 4.15888308335967 3.68135118769314 -2.77258872223978 0.22314355131421 3.09104 14.4
"69" 0 4.15888308335967 3.68135118769314 -2.59695615359662 0.22314355131421 2.61191 22.5
"70" 0 4.15888308335967 3.68135118769314 -2.23492644452023 0.22314355131421 2.22408 13.2
"71" 1 4.11087386417331 2.04122032885964 -2.59026716544583 3.17805383034795 2.99573 17
"72" 1 4.11087386417331 2.04122032885964 -1.57987911019256 2.00148000021012 3.04452 15.1
"73" 0 4.11087386417331 2.04122032885964 -1.3704210119636 1.80828877117927 2.99573 22.2
"74" 1 4.11087386417331 2.04122032885964 -1.29462717259407 2.51769647261099 3.52636 14.4
"75" 1 3.97029191355212 1.09861228866811 -2.05572501506252 2.42480272571829 1.60944 15.1
"76" 1 3.97029191355212 1.09861228866811 -1.65025990695436 2.7408400239252 1.94591 14.2
"77" 1 3.97029191355212 1.09861228866811 -1.11474167059799 0.22314355131421 3.09104 11
"78" 1 3.61091791264422 3.05870707271538 -2.59026716544583 2.30258509299405 3.3322 18.16666667
"79" 1 3.61091791264422 3.05870707271538 -1.13112514984852 2.06263442340583 3.42318 17.5
"80" 1 3.61091791264422 3.05870707271538 -0.906340401020987 1.62924053973028 3.17805 20.3
"81" 1 3.61091791264422 3.05870707271538 -0.82098055206983 0.22314355131421 2.07944 7.9
"82" 1 3.85014760171006 1.91692261218206 -0.514164525031505 3.49347265777133 3.68888 18.5
"83" 1 3.85014760171006 1.91692261218206 -0.182721636815294 2.98568193770049 3.43399 14.8
"84" 1 3.8286413964891 3.18221184049661 -1.4784096500277 2.2512917986065 0.22314 16.2
"85" 1 3.8286413964891 3.18221184049661 -1.2623083813389 1.9387416595767 3.3322 19
"86" 1 3.8286413964891 3.18221184049661 -1.21570806054436 0.22314355131421 3.00072 13
"87" 1 3.8286413964891 3.18221184049661 -1.14570389620196 2.07944154167984 3.3322 17.7
"88" 1 3.8286413964891 3.18221184049661 -0.872273846457381 2.28238238567653 1.79176 15.2
"89" 1 4.17438726989564 1.85629799036563 -0.693147180559945 2.17475172148416 3.49651 18.3
"90" 1 4.17438726989564 1.85629799036563 -0.544727175441672 2.74727091425549 2.48491 19.4
"92" 0 2.07944154167984 1.58923520511658 1.19392246847243 2.09186406167839 3.78419 18.1
"93" 1 2.07944154167984 1.58923520511658 1.25276296849537 2.45958884180371 3.3673 18
"94" 1 2.07944154167984 1.58923520511658 1.30833281965018 2.21920348405499 2.99573 16.3
"95" 1 5.92692602597041 0.405465108108164 0.182321556793955 2.39789527279837 3.27714 9.6
"97" 0 5.22035582507832 2.29253475714054 -0.867500567704723 4.4624538837865 3.2581 16.2
"98" 0 5.22035582507832 2.29253475714054 -0.677273831403655 4.52828914165213 3.3673 13.4
"99" 0 2.07944154167984 -0.22314355131421 0.908258560176891 2.77258872223978 6.53959 15.1
"102" 0 5.46806014113513 2.32238772029023 -2.59026716544583 4.25844557290253 4.5326 19.9
"103" 1 3.80666248977032 -1.20397280432594 0.139761942375159 4.17950237051139 4.53618 17.465
"104" 1 3.80666248977032 -1.20397280432594 0.207014169384326 3.8607297110406 4.13517 14.485
"105" 1 5.32787616878958 2.62466859216316 -1.13943428318836 2.52572864430826 4.15888 12.6
"106" 1 5.32787616878958 2.62466859216316 -0.972861083362549 3.73528582692809 4.04305 11.1
"107" 1 5.32787616878958 2.62466859216316 -0.746547957287061 3.82428409112014 3.3673 12.86666667
"108" 1 5.32787616878958 2.62466859216316 -0.594207232705042 3.90600493310258 4.02535 12.1
"109" 1 3.73766961828337 0.405465108108164 -0.139262067333508 2.94443897916644 3.55535 17.71
"110" 1 3.73766961828337 0.405465108108164 -0.105360515657826 3.17805383034795 3.04452 19.505
"111" 1 3.73766961828337 0.405465108108164 -0.0512932943875506 3.13549421592915 3.2581 14.875
"112" 1 3.73766961828337 0.405465108108164 0 2.89037175789616 3.04452 19.87
"113" 1 3.29583686600433 2.61006979274201 0.78845736036427 4.00186370942794 4.67283 16.9
"114" 1 3.29583686600433 2.61006979274201 0.85015092936961 3.29583686600433 4.26268 19.6
"115" 1 3.29583686600433 2.61006979274201 0.940007258491471 2.92852352386054 4.00733 14.4
"116" 1 3.95124371858143 1.02961941718116 0.619500640391647 4.33598269617247 2.94444 19.9
"117" 0 3.95124371858143 1.02961941718116 0.661656513468574 3.65583960003574 3.29584 15.3
"118" 1 4.21950770517611 1.79175946922805 1.42791603581071 3.29583686600433 3.55535 16.555
